t,S_mean,S_var,Mz_mean,Mz_var
1.146180904522613098e+01,2.210007253970679653e+00,3.164639050573286871e-02,2.100236821789354998e-03,7.367666386418463020e-05
1.152160804020100571e+01,2.214477747738379687e+00,3.022667551719991283e-02,8.881934267721512677e-05,1.338241356315067563e-04
1.158140703517588044e+01,2.218948983140169862e+00,2.880157454473646073e-02,-2.202794292816914051e-03,2.156262731330896168e-04
1.164120603015075517e+01,2.223338265336800568e+00,2.744094364930282567e-02,-4.652757473953863555e-03,3.146539280116847207e-04
1.170100502512562812e+01,2.227542815502808082e+00,2.620801741398521775e-02,-7.124643346110594126e-03,4.229558186293694570e-04
1.176080402010050285e+01,2.231427438897247484e+00,2.515152049277432147e-02,-9.478626545976044301e-03,5.298538924212520740e-04
1.182060301507537758e+01,2.234832413304596255e+00,2.430135681230905301e-02,-1.158320548842428112e-02,6.233026026262552697e-04
1.188040201005025231e+01,2.237600638289638066e+00,2.366935957162852322e-02,-1.332606769324383433e-02,6.916614556224352783e-04
1.194020100502512705e+01,2.239609868223475075e+00,2.325168745598302569e-02,-1.462307095851656490e-02,7.256109580042239236e-04
1.200000000000000000e+01,2.240800741307305444e+00,2.303136126366960371e-02,-1.542433083441199955e-02,7.198829198379816385e-04
