t,S_mean,S_var,Mz_mean,Mz_var
7.562311557788945038e+00,1.125345136068388152e+00,8.427988334642349394e-03,6.998581520590291391e-04,5.207925695336695308e-04
7.612060301507537652e+00,1.119004773350587234e+00,7.817657995961393644e-03,6.432558165461940702e-03,6.871975572389749749e-04
7.661809045226131154e+00,1.111947850777868618e+00,6.947835121985710023e-03,1.200962629690458666e-02,8.361182407856711934e-04
7.711557788944723768e+00,1.104695840556514375e+00,5.897709831972024370e-03,1.733167127567953464e-02,9.489996506100535287e-04
7.761306532663316382e+00,1.097810037973993902e+00,4.779169338989820368e-03,2.230962692654266458e-02,1.011891634399107037e-03
7.811055276381909884e+00,1.091849866228387089e+00,3.714029012135805149e-03,2.686335093225316814e-02,1.018515575246065410e-03
7.860804020100502498e+00,1.087288858313987694e+00,2.809104571659132993e-03,3.091991378148944980e-02,9.723244953186775631e-04
7.910552763819096000e+00,1.084530580101962682e+00,2.127011809044018244e-03,3.441200439737423372e-02,8.869894907507170018e-04
7.960301507537688614e+00,1.083903638059764196e+00,1.678695227247554772e-03,3.727701872673869904e-02,7.850321197689378921e-04
8.010050251256281229e+00,1.085575089766150469e+00,1.439238985311179020e-03,3.945729052644408180e-02,6.946896795884434242e-04
8.059798994974874731e+00,1.089446206221760471e+00,1.372068727832892422e-03,4.090176269529210290e-02,6.454800214813575252e-04
8.109547738693468233e+00,1.095096779332833448e+00,1.447235388604965105e-03,4.156918368120230550e-02,6.632111271448740868e-04
8.159296482412059959e+00,1.101832959604862827e+00,1.644585116634223604e-03,4.143248227831657776e-02,7.653098614053475924e-04
8.209045226130653461e+00,1.108806240480741501e+00,1.945038247804421793e-03,4.048386848075041788e-02,9.572996376900677401e-04
8.258793969849246963e+00,1.115139417254747300e+00,2.321754097701127662e-03,3.873970064535118413e-02,1.231053178543392926e-03
8.308542713567838689e+00,1.120026017460940215e+00,2.739247389708548627e-03,3.624429787487783161e-02,1.565149908887121001e-03
8.358291457286432191e+00,1.122804674118313750e+00,3.160433685640295226e-03,3.307171949603339434e-02,1.927315019975229344e-03
8.408040201005025693e+00,1.123018438586705026e+00,3.556383224060993484e-03,2.932490319318411739e-02,2.278582648298254406e-03
8.457788944723617419e+00,1.120459801340847106e+00,3.913177374159487569e-03,2.513196905745065587e-02,2.578568200791132251e-03
8.507537688442210921e+00,1.115196011931852915e+00,4.233158171845784884e-03,2.063968612427761334e-02,2.791027276936019000e-03
8.557286432160804424e+00,1.107570543155939502e+00,4.530432379634156612e-03,1.600487119233238997e-02,2.888866694745378331e-03
8.607035175879397926e+00,1.098182505230717698e+00,4.822249691597782321e-03,1.138455321352889460e-02,2.857835010237474039e-03
8.656783919597989652e+00,1.087847614185238676e+00,5.118971608659997341e-03,6.926035191318108582e-03,2.698353185590706121e-03
8.706532663316583154e+00,1.077543791679981711e+00,5.415465492950113403e-03,2.757962784122635399e-03,2.425242435944932693e-03
8.756281407035176656e+00,1.068335567098903427e+00,5.686540476259135772e-03,-1.016763371924962354e-03,2.065477556057602766e-03
8.806030150753768382e+00,1.061255215886025560e+00,5.890629295387484095e-03,-4.325431573227268844e-03,1.654418827872231436e-03
8.855778894472361884e+00,1.057108611459183001e+00,5.991022348344504644e-03,-7.127448450217721380e-03,1.231146935567920030e-03
8.905527638190955386e+00,1.056218109917612002e+00,5.993053482033665509e-03,-9.413441630603534491e-03,8.337003244637394492e-04
8.955276381909547112e+00,1.058294458900580493e+00,5.957413510553751131e-03,-1.120234456434551773e-02,4.948583546395235152e-04
9.005025125628140614e+00,1.062587405424746390e+00,5.963965655888345263e-03,-1.253665532300796137e-02,2.389852939876285288e-04
9.054773869346734116e+00,1.068158688873571904e+00,6.068938186384550439e-03,-1.347689504920033567e-02,8.016191450296057534e-05
9.104522613065327619e+00,1.074102025611418210e+00,6.287783706194653884e-03,-1.409560918023640939e-02,2.162028467424827511e-05
9.154271356783919344e+00,1.079674776613827936e+00,6.597811440230780082e-03,-1.447134549984654094e-02,5.631377808452588124e-05
9.204020100502512847e+00,1.084362899454045959e+00,6.949414644282302100e-03,-1.468308916274926358e-02,1.683639787815401252e-04
9.253768844221106349e+00,1.087888221721210247e+00,7.280908768279467820e-03,-1.480514534848236842e-02,3.351347191178222630e-04
9.303517587939698075e+00,1.090141499093031818e+00,7.536217835050016550e-03,-1.490269123980796605e-02,5.297312607466555774e-04
9.353266331658291577e+00,1.091196224765069944e+00,7.675093001493347999e-03,-1.502790134875937184e-02,7.237649071681560289e-04
9.403015075376885079e+00,1.091270862462094371e+00,7.678085408725558898e-03,-1.521685785976735483e-02,8.902582165592644444e-04
9.452763819095476805e+00,1.090691597382267064e+00,7.545716572045761510e-03,-1.548731708292838682e-02,1.006543044061970803e-03
9.502512562814070307e+00,1.089849041307582533e+00,7.294436564466659674e-03,-1.583753890092062452e-02,1.056964464601150818e-03
9.552261306532663809e+00,1.089149997289208471e+00,6.950716897663258842e-03,-1.624646253615271221e-02,1.035160262547513057e-03
9.602010050251257312e+00,1.088970504673197892e+00,6.544812266230971842e-03,-1.667542256838551451e-02,9.456680459388530765e-04
9.651758793969849037e+00,1.089616893478893456e+00,6.105883909829109939e-03,-1.707158013055149609e-02,8.046186769396791163e-04
9.701507537688442540e+00,1.091295380343017873e+00,5.659420221323991328e-03,-1.737284658056535008e-02,6.393161421168895618e-04
9.751256281407036042e+00,1.094092029815157519e+00,5.226293448505662208e-03,-1.751418425106908081e-02,4.865973139230848638e-04
9.801005025125627768e+00,1.097967379911527708e+00,4.822596272243326147e-03,-1.743464713885354775e-02,3.899384501345700186e-04
9.850753768844221270e+00,1.102765382625857882e+00,4.459618116340762807e-03,-1.708438590949952832e-02,3.954085624027832316e-04
9.900502512562814772e+00,1.108233050184596946e+00,4.143720431476293105e-03,-1.643090716628383546e-02,5.467170214159582575e-04
9.950251256281406498e+00,1.114047747111945430e+00,3.876343048022901170e-03,-1.546349820264592001e-02,8.797450198432593335e-04
1.000000000000000000e+01,1.119849324934794055e+00,3.654386374841630744e-03,-1.419540706116272782e-02,1.417135124340311407e-03
